Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Score,SMA_20,RSI_14,RSI_7,MACD_14
1672628400,16587.99,16707.25,16581.8,16661.94,6194.13548,2023-01-02 03:59:59.999,103030651.2525582,171225,3277.32371,54517255.708229,0.4,16576.9525,70.88268380067677,74.40485751344934,17.757531090908742
1672632000,16662.38,16674.84,16629.29,16639.44,4983.39445,2023-01-02 04:59:59.999,82956333.1892861,168122,2424.93966,40367608.1979881,0.1,16583.2575,63.77699889272259,63.99519960053641,19.892746631125192
1672635600,16639.74,16662.94,16619.44,16647.58,4976.78402,2023-01-02 05:59:59.999,82815640.7600262,153618,2278.73858,37917511.4934997,0.1,16588.7425,65.13856165263417,66.00275513587293,21.988283061422408
1672639200,16648.37,16663.27,16635.93,16641.1,3210.61774,2023-01-02 06:59:59.999,53448745.656098,133057,1580.31619,26308644.3665057,0.1,16593.3805,63.10502292114241,62.75308249063065,22.86258330668352
1672642800,16641.1,16769.51,16637.44,16721.28,12856.08557,2023-01-02 07:59:59.999,214957166.0045606,322222,6607.54533,110472103.8057441,0.1,16601.6115,73.9441667585723,78.22769525855946,29.68315947255178
1672646400,16721.27,16772.01,16707.52,16733.71,7080.81126,2023-01-02 08:59:59.999,118529873.5072948,232689,3600.24531,60267451.3757081,0.55,16610.250500000002,75.16239111624235,79.74936356824986,35.68021305580987
1672650000,16733.71,16745.68,16710.54,16717.5,5599.20896,2023-01-02 09:59:59.999,93655810.850548,188371,2706.63747,45274401.0557617,0.6,16618.7235,70.53112543345352,72.08431288932468,38.67904178279787
1672653600,16717.5,16762.86,16708.68,16727.95,5892.57705,2023-01-02 10:59:59.999,98601861.9257348,198444,3066.45273,51311880.7779462,0.3,16627.974,71.74002131270264,73.96624795361535,41.42138290185903
1672657200,16727.72,16741.72,16704.07,16735.11,4695.34392,2023-01-02 11:59:59.999,78524975.0914489,180194,2394.24674,40042560.0979108,0.3,16636.792999999998,72.57030729251741,75.2974431480053,43.669070298255974
1672660800,16735.51,16746.29,16719.3,16721.54,4262.00363,2023-01-02 12:59:59.999,71316441.962335,178620,2122.56634,35518307.4769743,0.6,16644.612999999998,68.46472955076696,67.64889034668187,43.849918596875796
1672664400,16721.96,16725.6,16685.0,16694.78,5598.29706,2023-01-02 13:59:59.999,93533995.7253008,191106,2582.79375,43153454.7082556,0.4,16650.4095,61.12130131536288,54.834307954949665,41.35719383258402
1672668000,16695.12,16710.41,16669.15,16698.69,5460.35075,2023-01-02 14:59:59.999,91162148.0026196,184159,2714.72753,45323673.4973906,0.1,16655.75,61.76658455588504,56.24713095102185,39.2448061245741
1672671600,16698.69,16750.0,16692.01,16734.66,6426.56347,2023-01-02 15:59:59.999,107460985.3331384,202055,3378.12058,56486919.0699999,0.6,16662.328999999998,67.16561648503185,67.24421544988043,40.011968961607636
1672675200,16734.66,16739.64,16708.23,16710.88,3861.0201,2023-01-02 16:59:59.999,64588414.4885835,155899,1880.5146,31458598.3003714,0.5,16667.6475,61.0298195050529,56.32502121529589,38.260065555165056
1672678800,16710.69,16723.0,16707.12,16715.42,3035.91493,2023-01-02 17:59:59.999,50742538.9252859,124972,1622.9706,27126765.9994859,0.55,16673.084499999997,61.748281196645785,57.84952641925578,36.8136447603174
1672682400,16715.42,16731.71,16707.47,16723.81,2810.694,2023-01-02 18:59:59.999,46983603.5512847,113864,1469.96642,24572110.7146456,0.6,16679.169,63.102109316436724,60.79964268286485,35.93016812890346
1672686000,16723.64,16738.22,16715.88,16737.56,2607.1075,2023-01-02 19:59:59.999,43605490.2858551,108373,1316.05853,22012453.0503354,0.6,16685.2095,65.27143536174647,65.42632561085534,35.925391074331856
1672689600,16737.56,16738.23,16709.29,16728.52,2881.53898,2023-01-02 20:59:59.999,48193479.8135003,111822,1417.43862,23706442.1661788,0.5,16692.218,62.662972264177576,59.9949833490158,34.7911026005313
1672693200,16728.52,16799.23,16718.41,16757.76,3771.07914,2023-01-02 21:59:59.999,63136180.1259122,119524,2033.27194,34043117.7824074,0.4,16701.854,67.22536824335327,69.53771723573882,35.838470860653615
1672696800,16757.76,16763.78,16690.18,16698.4,5609.151,2023-01-02 22:59:59.999,93779389.4186821,172674,2761.75077,46172269.7167796,0.6,16707.3815,53.052434454065164,44.43403518503582,31.515372251225926
1672700400,16698.4,16722.98,16660.51,16672.87,6806.55328,2023-01-02 23:59:59.999,113657537.7711064,176341,3245.25604,54192976.3122388,0.6,16707.928,48.33278250859108,37.6195333571357,25.732598443257302
1672704000,16672.78,16706.14,16647.81,16695.59,5684.61483,2023-01-03 00:59:59.999,94846159.4394865,178957,2884.00666,48118051.9140949,0.6,16710.7355,52.391866221977764,46.18797758194351,22.72110787071142
